Paper,DOI,Treatment_1,Treatment_2,Treatment_3,Treatment_4,Treatment_5,Treatment_6,Treatment_7,Trt.combo,Trt.code,Control
Zhang et al. 2019,10.1016/j.still.2019.05.013,No tillage,,,,,,,No tillage,2,
Zhang et al. 2019,10.1016/j.still.2019.05.013,Ridge tillage,,,,,,,Ridge tillage,3,
Zhang et al. 2019,10.1016/j.still.2019.05.013,Moldboard plow,,,,,,,Moldboard plow,1,1
Zhao et al. 2018,10.1111/sum.12482,Control,,,,,,,Control,1,1
Zhao et al. 2018,10.1111/sum.12482,Wheat stubble retained,,,,,,,Wheat stubble retained,2,
Zhao et al. 2018,10.1111/sum.12482,Wheat stubble retained,Chopped maize straw returned,,,,,,"Wheat stubble retained, Chopped maize straw returned",3,
Zhao et al. 2018,10.1111/sum.12482,Chopped wheat straw returned,Chopped maize straw returned,,,,,,"Chopped wheat straw returned, Chopped maize straw returned",4,
Landschoot et al. 2019,10.1002/jpln.201900160,No cover crop,Conventional tillage,,,,,,"No cover crop, Conventional tillage",1,1
Landschoot et al. 2019,10.1002/jpln.201900160,Italian ryegrass cover crop,Reduced tillage with rigid tine cultivator,,,,,,"Italian ryegrass cover crop, Reduced tillage with rigid tine cultivator",2,
Landschoot et al. 2019,10.1002/jpln.201900160,Italian ryegrass cover crop,Conventional tillage,,,,,,"Italian ryegrass cover crop, Conventional tillage",3,
Landschoot et al. 2019,10.1002/jpln.201900160,Italian ryegrass cover crop,Reduced tillage with field cultivator,,,,,,"Italian ryegrass cover crop, Reduced tillage with field cultivator",4,
Landschoot et al. 2019,10.1002/jpln.201900160,Winter rye cover crop,No tillage,,,,,,"Winter rye cover crop, No tillage",5,
Landschoot et al. 2019,10.1002/jpln.201900160,Italian ryegrass cover crop,No tillage,,,,,,"Italian ryegrass cover crop, No tillage",6,
Sithole and Magwaza 2019,10.1016/j.heliyon.2019.e02632,No tillage,0 kg N ha-1,,,,,,"No tillage, 0 kg N ha-1",2,
Sithole and Magwaza 2019,10.1016/j.heliyon.2019.e02632,No tillage,100 kg N ha-1,,,,,,"No tillage, 100 kg N ha-1",3,
Sithole and Magwaza 2019,10.1016/j.heliyon.2019.e02632,No tillage,200 kg N ha-1,,,,,,"No tillage, 200 kg N ha-1",4,
Sithole and Magwaza 2019,10.1016/j.heliyon.2019.e02632,Conventional tillage,0 kg N ha-1,,,,,,"Conventional tillage, 0 kg N ha-1",1,1
Sithole and Magwaza 2019,10.1016/j.heliyon.2019.e02632,Conventional tillage,100 kg N ha-1,,,,,,"Conventional tillage, 100 kg N ha-1",5,
Sithole and Magwaza 2019,10.1016/j.heliyon.2019.e02632,Conventional tillage,200 kg N ha-1,,,,,,"Conventional tillage, 200 kg N ha-1",6,
Sithole and Magwaza 2019,10.1016/j.heliyon.2019.e02632,Rotational tillage,0 kg N ha-1,,,,,,"Rotational tillage, 0 kg N ha-1",7,
Sithole and Magwaza 2019,10.1016/j.heliyon.2019.e02632,Rotational tillage,100 kg N ha-1,,,,,,"Rotational tillage, 100 kg N ha-1",8,
Sithole and Magwaza 2019,10.1016/j.heliyon.2019.e02632,Rotational tillage,200 kg N ha-1,,,,,,"Rotational tillage, 200 kg N ha-1",9,
Srinivasarao et al. 2019,10.1007/s42965-019-00044-x,Control,,,,,,,Control,1,1
Srinivasarao et al. 2019,10.1007/s42965-019-00044-x,100% RDF of NP,,,,,,,100% RDF of NP,2,
Srinivasarao et al. 2019,10.1007/s42965-019-00044-x,25 kg N ha-1 (FYM),25 kg N (Urea),30 kg P ha-1,,,,,"25 kg N ha-1 (FYM), 25 kg N (Urea), 30 kg P ha-1",3,
Srinivasarao et al. 2019,10.1007/s42965-019-00044-x,15 kg N ha-1 (FYM),25 kg N (Urea),30 kg P ha-1,10 kg N (Crop residue),,,,"15 kg N ha-1 (FYM), 25 kg N (Urea), 30 kg P ha-1, 10 kg N (Crop residue)",4,
Srinivasarao et al. 2019,10.1007/s42965-019-00044-x,15 kg N ha-1 (FYM),25 kg N (Urea),30 kg P ha-1,10 kg N (Green leaf),,,,"15 kg N ha-1 (FYM), 25 kg N (Urea), 30 kg P ha-1, 10 kg N (Green leaf)",5,
Srinivasarao et al. 2019,10.1007/s42965-019-00044-x,100% recommended N (urea) without P,,,,,,,100% recommended N (urea) without P,6,
Srinivasarao et al. 2019,10.1007/s42965-019-00044-x,25 kg N ha-1 (Compost),25 kg N (Urea),30 kg P ha-1,,,,,"25 kg N ha-1 (Compost), 25 kg N (Urea), 30 kg P ha-1",7,
Srinivasarao et al. 2019,10.1007/s42965-019-00044-x,25 kg N ha-1 (Crop residue),25 kg N (Urea),30 kg P ha-1,,,,,"25 kg N ha-1 (Crop residue), 25 kg N (Urea), 30 kg P ha-1",8,
Srinivasarao et al. 2019,10.1007/s42965-019-00044-x,15 kg N ha-1 (FYM),25 kg N (Urea),30 kg P ha-1,10 kg N (Compost),,,,"15 kg N ha-1 (FYM), 25 kg N (Urea), 30 kg P ha-1",9,
Srinivasarao et al. 2019,10.1007/s42965-019-00044-x,25 kg N ha-1 (Compost),25 kg N (Urea),30 kg P ha-1,,,,,"25 kg N ha-1 (Compost), 25 kg N (Urea), 30 kg P ha-1",10,
Srinivasarao et al. 2019,10.1007/s42965-019-00044-x,25 kg N ha-1 (Crop residue),25 kg N (Urea),30 kg P ha-1,,,,,"25 kg N ha-1 (Crop residue), 25 kg N (Urea), 30 kg P ha-1",11,
Srinivasarao et al. 2019,10.1007/s42965-019-00044-x,15 kg N ha-1 (FYM),25 kg N (Urea),30 kg P ha-1,10 kg N (Compost),,,,"15 kg N ha-1 (FYM), 25 kg N (Urea), 30 kg P ha-1, 10 kg N (Compost)",12,
Wang et al. 2019,10.1016/j.still.2019.104382,Control,,,,,,,Control,1,1
Wang et al. 2019,10.1016/j.still.2019.104382,NPK fertilizer,,,,,,,NPK fertilizer,2,
Wang et al. 2019,10.1016/j.still.2019.104382,NPK fertilizer,Manure,,,,,,"NPK fertilizer, Manure",3,
Wang et al. 2019,10.1016/j.still.2019.104382,Manure,,,,,,,Manure,4,
Thomas et al. 2019,10.3390/agronomy9120776,Anaerobic digestate,No added straw,,,,,,"Anaerobic digestate, No added straw",8,
Thomas et al. 2019,10.3390/agronomy9120776,Anaerobic digestate,Added straw,,,,,,"Anaerobic digestate, Added straw",7,
Thomas et al. 2019,10.3390/agronomy9120776,Compost,No added straw,,,,,,"Compost, No added straw",6,
Thomas et al. 2019,10.3390/agronomy9120776,Compost,Added straw,,,,,,"Compost, Added straw",5,
Thomas et al. 2019,10.3390/agronomy9120776,FYM,No added straw,,,,,,"FYM, No added straw",4,
Thomas et al. 2019,10.3390/agronomy9120776,FYM,Added straw,,,,,,"FYM, Added straw",3,
Thomas et al. 2019,10.3390/agronomy9120776,Straw only,,,,,,,Straw only,2,
Thomas et al. 2019,10.3390/agronomy9120776,Untreated,,,,,,,Untreated,1,1
Zhou et al. 2020,10.17221/648/2019-PSE,Control,,,,,,,Control,1,1
Zhou et al. 2020,10.17221/648/2019-PSE,Pig manure (100 total kg N ha-1 year-1),,,,,,,Pig manure (100 total kg N ha-1 year-1),2,
Zhou et al. 2020,10.17221/648/2019-PSE,Pig manure (250 total kg N ha-1 year-1),,,,,,,Pig manure (250 total kg N ha-1 year-1),3,
Zhou et al. 2020,10.17221/648/2019-PSE,Pig manure (500 total kg N ha-1 year-1),,,,,,,Pig manure (500 total kg N ha-1 year-1),4,
Liu et al. 2019,10.1002/ldr.3531,Conventional tillage,No straw incorporation,,,,,,"Conventional tillage, No straw incorporation",1,1
Liu et al. 2019,10.1002/ldr.3531,Conventional tillage,Straw incorporation,,,,,,"Conventional tillage, Straw incorporation",2,
Liu et al. 2019,10.1002/ldr.3531,Subsoiling,No straw incorporation,,,,,,"Subsoiling, No straw incorporation",3,
Liu et al. 2019,10.1002/ldr.3531,Subsoiling,Straw incorporation,,,,,,"Subsoiling, Straw incorporation",4,
Liu et al. 2019,10.1002/ldr.3531,Rotary tillage,No straw incorporation,,,,,,"Rotary tillage, No straw incorporation",5,
Liu et al. 2019,10.1002/ldr.3531,Rotary tillage,Straw incorporation,,,,,,"Rotary tillage, Straw incorporation",6,
Liu et al. 2019,10.1002/ldr.3531,No tillage,No straw incorporation,,,,,,"No tillage, No straw incorporation",7,
Liu et al. 2019,10.1002/ldr.3531,No tillage,Straw incorporation,,,,,,"No tillage, Straw incorporation",8,
Xiang et al. 2020,10.1016/j.still.2019.104491,Control,,,,,,,Control,1,1
Xiang et al. 2020,10.1016/j.still.2019.104491,N fertilizer,,,,,,,N fertilizer,2,
Xiang et al. 2020,10.1016/j.still.2019.104491,NPK fertilizer,,,,,,,NPK fertilizer,3,
Xiang et al. 2020,10.1016/j.still.2019.104491,Pig manure,,,,,,,Pig manure,4,
Xiang et al. 2020,10.1016/j.still.2019.104491,NPK fertilizer,Pig manure,,,,,,"NPK fertilizer, Pig manure",5,
Liu et al. 2020,10.1016/j.still.2019.104444,Conventional tillage,100% N application,,,,,,"Conventional tillage, 100% N application",5,
Liu et al. 2020,10.1016/j.still.2019.104444,Conventional tillage,75% N application,,,,,,"Conventional tillage, 75% N application",4,
Liu et al. 2020,10.1016/j.still.2019.104444,Conventional tillage,50% N application,,,,,,"Conventional tillage, 50% N application",3,
Liu et al. 2020,10.1016/j.still.2019.104444,Conventional tillage,25% N application,,,,,,"Conventional tillage, 25% N application",2,
Liu et al. 2020,10.1016/j.still.2019.104444,Conventional tillage,No N application,,,,,,"Conventional tillage, No N application",1,1
Liu et al. 2020,10.1016/j.still.2019.104444,No tillage,100% N application,,,,,,"No tillage, 100% N application",10,
Liu et al. 2020,10.1016/j.still.2019.104444,No tillage,75% N application,,,,,,"No tillage, 75% N application",9,
Liu et al. 2020,10.1016/j.still.2019.104444,No tillage,50% N application,,,,,,"No tillage, 50% N application",8,
Liu et al. 2020,10.1016/j.still.2019.104444,No tillage,25% N application,,,,,,"No tillage, 25% N application",7,
Liu et al. 2020,10.1016/j.still.2019.104444,No tillage,No N application,,,,,,"No tillage, No N application",6,
,,,,,,,,,,,
